,SMILES,CANONICAL_SMILES,Energy
82058,n1c(C)c(C)c(c2cc(ccc21)C)C(=O)N(C(C)(C(=O)O)C)C,Cc1ccc2nc(C)c(C)c(C(=O)N(C)C(C)(C)C(=O)O)c2c1,-8.1197800002
82059,c1c2c(C(=O)NCc3c(Br)cc(c(OC)c3)OC)cc(nc2ccc1)C,COc1cc(Br)c(CNC(=O)c2cc(C)nc3ccccc23)cc1OC,-8.082906216
82060,c1c2c(C(N3CC4n5c(COC4CC3)cnn5)=O)cc(nc2cc(F)c1)C,Cc1cc(C(=O)N2CCC3OCc4cnnn4C3C2)c2ccc(F)cc2n1,-10.5030548769
82061,c1(F)cc(cc(F)c1)NC(c1c(c(nc2ccccc12)CC)C)=O,CCc1nc2ccccc2c(C(=O)Nc2cc(F)cc(F)c2)c1C,-8.600607282099999
82062,c1ccc2c(nc([nH]2)NC(c2c3c(cccc3)nc(c2)-c2cccs2)=O)c1,O=C(Nc1nc2ccccc2[nH]1)c1cc(-c2cccs2)nc2ccccc12,-0.4148121488
82063,C1c2c(c(c3ccccc3n2)C(=O)NC(CCSC)C(=O)OC)CCC1,COC(=O)C(CCSC)NC(=O)c1c2c(nc3ccccc13)CCCC2,-9.2763918142
82064,c1cc2c(C(=O)NN=C3CCCC3)cc(C)nc2cc1,Cc1cc(C(=O)NN=C2CCCC2)c2ccccc2n1,-1.8728324671
82065,CC1(CCN(C(=O)c2cc(NC)nc3ccccc23)C1)C,CNc1cc(C(=O)N2CCC(C)(C)C2)c2ccccc2n1,-9.1976476241
82066,n1cc(ccc1)NC(c1c2c(nc(c1)-c1occc1)ccc(c2)-c1cc2c([nH]nc2)cc1)=O,O=C(Nc1cccnc1)c1cc(-c2ccco2)nc2ccc(-c3ccc4[nH]ncc4c3)cc12,-2.2853971652
82067,c1c2c(cc(nc2ccc1)-c1ccccc1)C(Nc1cc(NS(=O)(c2ccc(Cl)c(Cl)c2)=O)c(OC)cc1)=O,COc1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-9.120989914399999
82068,C(CCCCC)CCCCCCNC(c1c2c(nc(-c3sc(cc3)C)c1)cccc2)=O,CCCCCCCCCCCCNC(=O)c1cc(-c2ccc(C)s2)nc2ccccc12,-5.2611249348
82069,C(Oc1c(/C=N\NC(=O)c2c3c(nc(-c4ccccc4)c2)cccc3)cc(cc1Br)Br)(C)C,CC(C)Oc1c(Br)cc(Br)cc1/C=N\NC(=O)c1cc(-c2ccccc2)nc2ccccc12,-0.93842815785
82070,C(c1c2ccccc2nc(COc2ccc(cc2)-n2c(cc(C(F)(F)F)n2)-c2cc(ncc2)C)c1)(=O)N1CC2(C1)CNC2,Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(OCc3cc(C(=O)N4CC5(CNC5)C4)c4ccccc4n3)cc2)ccn1,-11.783473024000001
82071,n1c2c(cccc2)c(C(N2NC(=C[C@]2(O)C(F)F)C(F)F)=O)cc1CC(C)C,CC(C)Cc1cc(C(=O)N2NC(C(F)F)=C[C@]2(O)C(F)F)c2ccccc2n1,-8.326019074
82072,c1cc2OCOc2cc1CC1=CCc2c1nc1ccccc1c2C(NCCCN(C)C)=O,CN(C)CCCNC(=O)c1c2c(nc3ccccc13)C(Cc1ccc3c(c1)OCO3)=CC2,-8.523829901
82073,C1C(CCN(C(c2c3ccccc3nc(-c3ccccc3)c2)=O)C1)CNCC,CCNCC1CCN(C(=O)c2cc(-c3ccccc3)nc3ccccc23)CC1,-7.926864524
82074,c12c(ccc(c1)C)nc(cc2C(=O)[N][N]c1c2cc(ccc2[nH]c1O)Br)-c1ccc(cc1)Br,Cc1ccc2nc(-c3ccc(Br)cc3)cc(C(=O)[N][N]c3c(O)[nH]c4ccc(Br)cc34)c2c1,-7.0280065051000005
82075,c1c2c(C(=O)/N=c3\sc4cc(ccc4n3CC)F)cc(nc2ccc1)-c1sccc1,CCn1/c(=N/C(=O)c2cc(-c3cccs3)nc3ccccc23)sc2cc(F)ccc21,-6.826408310000001
82076,N(CCCCCCCCCCCC)C(=O)C(NC(=O)CCCNC(c1c2ccccc2nc2ccccc21)=O)CCC(NCCCCCCCCCCCC)=O,CCCCCCCCCCCCNC(=O)CCC(NC(=O)CCCNC(=O)c1c2ccccc2nc2ccccc12)C(=O)NCCCCCCCCCCCC,-3.427630147
82077,c12nc(-c3ccncc3)cc(C(NC3CCC4C(C3)CNN4)=O)c1cccc2,O=C(NC1CCC2NNCC2C1)c1cc(-c2ccncc2)nc2ccccc12,-10.3630738228
82078,C1(CC1)c1nccc(-c2ncnc(NCC(c3c4c(c(C(NC)=O)ccn4)ccc3)CSC)c2)c1,CNC(=O)c1ccnc2c(C(CNc3cc(-c4ccnc(C5CC5)c4)ncn3)CSC)cccc12,-10.8587434932
82079,c1(C)cc2c(C(=O)N3CCN(c4ncccn4)CC3)cc(-c3ccc4OCOc4c3)nc2cc1,Cc1ccc2nc(-c3ccc4c(c3)OCO4)cc(C(=O)N3CCN(c4ncccn4)CC3)c2c1,-12.720271102
82080,CC(C)(OC(=O)NCC1CCC(CNC(c2c3ccccc3nc(c2)N2CCC(CC2)CCN2CC(O)CC2)=O)CC1)C,CC(C)(C)OC(=O)NCC1CCC(CNC(=O)c2cc(N3CCC(CCN4CCC(O)C4)CC3)nc3ccccc23)CC1,-10.156886543
82081,c1c(Cl)c2c(c(cc(n2)-c2occc2)C(=O)N2Cc3c(oc(C(C)C)n3)CC2)cc1,CC(C)c1nc2c(o1)CCN(C(=O)c1cc(-c3ccco3)nc3c(Cl)cccc13)C2,-9.876544703
82082,O=C(c1c2ccccc2nc(c1)-c1ccccc1)N1CCC(CC1)NC,CNC1CCN(C(=O)c2cc(-c3ccccc3)nc3ccccc23)CC1,-9.126586665
82083,Cc1c(-c2nc3c(cccc3)c(C(=O)Nc3ccccc3S(=O)(C)=O)c2)ccc(c1)C,Cc1ccc(-c2cc(C(=O)Nc3ccccc3S(C)(=O)=O)c3ccccc3n2)c(C)c1,-9.400762293
82084,O=C(NNC(=O)c1c2ccccc2nc(c1)-c1c(cccc1)Cl)C(C)S(C)(=O)=O,CC(C(=O)NNC(=O)c1cc(-c2ccccc2Cl)nc2ccccc12)S(C)(=O)=O,-3.274483467
82085,c12c(C(Nc3ccc(cc3Cl)[N+](=O)[O-])=O)cc(-c3cc(ccc3)Br)nc2cccc1,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(-c2cccc(Br)c2)nc2ccccc12,-5.829480124
82086,c1cccc2c1nc(cc2C(=O)NCCCCSC)Cl,CSCCCCNC(=O)c1cc(Cl)nc2ccccc12,-5.1397714565
82087,c1c(O)ccc(c1)/C(=N/NC(c1cc(-c2ccccc2)nc2c1cccc2)=O)C,C/C(=N\NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccc(O)cc1,-0.30239727901999996
82088,c1c2c(c(C(=O)NCC(N)=O)ccn2)ccc1,NC(=O)CNC(=O)c1ccnc2ccccc12,-0.69104177691
